"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Albion College","Michigan","MI","Private","4 Year",12380,45775,58155,45775,58155
"Cincinnati Christian University","Ohio","OH","Private","4 Year",8360,17528,25888,17528,25888
"Lincoln Memorial University","Tennessee","TN","Private","4 Year",8000,22010,30010,22010,30010
"Union College","Nebraska","NE","Private","4 Year",7070,23780,30850,23780,30850
"Hutchinson Community College","Kansas","KS","Public","2 Year",5800,3000,8800,4230,10030
"Drake University","Iowa","IA","Private","4 Year",10528,41396,51924,41396,51924
"Winston-Salem State University","North Carolina","NC","Public","4 Year",9550,5814,15364,16061,25611
"North Dakota State University","North Dakota","ND","Public","4 Year",8565,9294,17859,13273,21838
"Hult International Business School","California","CA","Private","4 Year",15000,40650,55650,40650,55650
"W.L. Bonner Bible College","South Carolina","SC","Private","4 Year",2576,8868,11444,8868,11444
"Quinnipiac University","Connecticut","CT","Private","4 Year",14540,47960,62500,47960,62500
"Eckerd College","Florida","FL","Private","4 Year",12588,44540,57128,44540,57128
"Western Carolina University","North Carolina","NC","Public","4 Year",9682,4220,13902,8220,17902
"University of San Francisco","California","CA","Private","4 Year",14830,48066,62896,48066,62896
"New England College","New Hampshire","NH","Private","4 Year",14222,37914,52136,37914,52136
"Washington College","Maryland","MD","Private","4 Year",12414,46978,59392,46978,59392
"Hartwick College","New York","NY","Private","4 Year",12460,45510,57970,45510,57970
"Pontifical College Josephinum","Ohio","OH","Private","4 Year",10600,23285,33885,23285,33885
"Southern Vermont College","Vermont","VT","Private","4 Year",11000,25511,36511,25511,36511
"Howard Payne University","Texas","TX","Private","4 Year",8386,28090,36476,28090,36476
"Asbury University","Kentucky","KY","Private","4 Year",7160,30198,37358,30198,37358
"College of the Muscogee Nation","Oklahoma","OK","Public","2 Year",9045,6593,15638,15008,24053
"Saint Xavier University","Illinois","IL","Private","4 Year",11340,33880,45220,33880,45220
"Troy University","Alabama","AL","Public","4 Year",8185,12460,20645,22875,31060
"The Citadel","South Carolina","SC","Public","4 Year",6904,14289,21193,36761,43665
"Lackawanna College","Pennsylvania","PA","Private","2 Year",10300,15450,25750,15450,25750
"Covenant College","Georgia","GA","Private","4 Year",10260,34330,44590,34330,44590
"Tufts University","Massachusetts","MA","Private","4 Year",14560,56382,70942,56382,70942
"Lee University","Tennessee","TN","Private","4 Year",7410,17690,25100,17690,25100
"Institute of American Indian Arts","New Mexico","NM","Public","4 Year",9604,4980,14584,4980,14584
"Ohio State University: Mansfield Campus","Ohio","OH","Public","4 Year",8094,7644,15738,27660,35754
"Centre College","Kentucky","KY","Private","4 Year",10480,41700,52180,41700,52180
"Saint Anselm College","New Hampshire","NH","Private","4 Year",14500,41200,55700,41200,55700
"Sarah Lawrence College","New York","NY","Private","4 Year",15370,55900,71270,55900,71270
"Appalachian Bible College","West Virginia","WV","Private","4 Year",7960,14720,22680,14720,22680
"Tyler Junior College","Texas","TX","Public","2 Year",7940,2962,10902,5482,13422
"Metropolitan Community College","Nebraska","NE","Public","2 Year",6255,3105,9360,4545,10800
"Guilford College","North Carolina","NC","Private","4 Year",11200,38250,49450,38250,49450
"Mount Carmel College of Nursing","Ohio","OH","Private","4 Year",5000,13907,18907,13907,18907
"Chaminade University of Honolulu","Hawaii","HI","Private","4 Year",13630,25374,39004,25374,39004
"Felician University","New Jersey","NJ","Private","4 Year",12880,34315,47195,34315,47195
"Kuyper College","Michigan","MI","Private","4 Year",7285,21989,29274,21989,29274
"Lyon College","Arkansas","AR","Private","4 Year",9130,28790,37920,28790,37920
"Albertus Magnus College","Connecticut","CT","Private","4 Year",13200,32060,45260,32060,45260
"Slippery Rock University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10312,10517,20829,18233,28545
"University of Nevada: Reno","Nevada","NV","Public","4 Year",10868,7925,18793,22397,33265
"University of Northern Colorado","Colorado","CO","Public","4 Year",11204,9786,20990,21474,32678
"North Carolina Wesleyan College","North Carolina","NC","Private","4 Year",10800,31000,41800,31000,41800
"Martin Luther College","Minnesota","MN","Private","4 Year",6080,15410,21490,15410,21490
"Anna Maria College","Massachusetts","MA","Private","4 Year",14630,37860,52490,37860,52490
"Illinois State University","Illinois","IL","Public","4 Year",9850,14516,24366,26040,35890
"Cornell University","New York","NY","Private","4 Year",14816,55188,70004,55188,70004
"Iowa State University","Iowa","IA","Public","4 Year",8720,8988,17708,23392,32112
"Maharishi University of Management","Iowa","IA","Private","4 Year",7400,16530,23930,16530,23930
"Union College","Kentucky","KY","Private","4 Year",7600,27140,34740,27140,34740
"Andrew College","Georgia","GA","Private","2 Year",10636,17388,28024,17388,28024
"Tohono O'odham Community College","Arizona","AZ","Public","2 Year",7622,987,8609,987,8609
"Stephen F. Austin State University","Texas","TX","Public","4 Year",8964,10287,19251,22737,31701
"Penn State University Park","Pennsylvania","PA","Public","4 Year",11570,18454,30024,34858,46428
"Moody Bible Institute","Illinois","IL","Private","4 Year",11820,13565,25385,13565,25385
"Fulton-Montgomery Community College","New York","NY","Public","2 Year",11870,5460,17330,10060,21930
"University of Maryland: Eastern Shore","Maryland","MD","Public","4 Year",9864,8302,18166,18508,28372
"Southern Illinois University Carbondale","Illinois","IL","Public","4 Year",10622,14704,25326,14704,25326
"Colorado School of Mines","Colorado","CO","Public","4 Year",13169,18964,32133,38584,51753
"Franklin & Marshall College","Pennsylvania","PA","Private","4 Year",14050,56750,70800,56750,70800
"New England Institute of Technology","Rhode Island","RI","Private","4 Year",13065,29940,43005,29940,43005
"Coahoma Community College","Mississippi","MS","Public","2 Year",4420,2996,7416,3446,7866
"Alaska Pacific University","Alaska","AK","Private","4 Year",7300,20830,28130,20830,28130
"Mississippi University for Women","Mississippi","MS","Public","4 Year",7424,7040,14464,7040,14464
"Taft College","California","CA","Public","2 Year",4942,1380,6322,9120,14062
"Victor Valley College","California","CA","Public","2 Year",5418,1402,6820,9142,14560
"Westfield State University","Massachusetts","MA","Public","4 Year",10948,10429,21377,16509,27457
"Loyola University New Orleans","Louisiana","LA","Private","4 Year",13380,39692,53072,39692,53072
"Prescott College","Arizona","AZ","Private","4 Year",7700,31485,39185,31485,39185
"Tuskegee University","Alabama","AL","Private","4 Year",9650,22170,31820,22170,31820
"Rabbinical College of Ohr Shimon Yisroel","New York","NY","Private","4 Year",1600,13500,15100,13500,15100
"Unity College","Maine","ME","Private","4 Year",10710,29160,39870,29160,39870
"Trinity Valley Community College","Texas","TX","Public","2 Year",6590,2640,9230,5970,12560
"Greensboro College","North Carolina","NC","Private","4 Year",10800,29140,39940,29140,39940
"University of Wisconsin-Green Bay","Wisconsin","WI","Public","4 Year",6609,7878,14487,15728,22337
"Middle Tennessee State University","Tennessee","TN","Public","4 Year",9436,9206,18642,28364,37800
"Northwest Christian University","Oregon","OR","Private","4 Year",9300,30050,39350,30050,39350
"Gwynedd Mercy University","Pennsylvania","PA","Private","4 Year",12370,35600,47970,35600,47970
"Wharton County Junior College","Texas","TX","Public","2 Year",4200,3030,7230,6120,10320
"Texas A&M University","Texas","TX","Public","4 Year",10436,10968,21404,36442,46878
"University of Richmond","Virginia","VA","Private","4 Year",12250,52610,64860,52610,64860
"Lindsey Wilson College","Kentucky","KY","Private","4 Year",9385,24850,34235,24850,34235
"Fairmont State University","West Virginia","WV","Public","4 Year",9004,7514,16518,16324,25328
"Haskell Indian Nations University","Kansas","KS","Public","4 Year",950,480,1430,480,1430
"Butler Community College","Kansas","KS","Public","2 Year",5950,3180,9130,5310,11260
"The King's College","New York","NY","Private","4 Year",14000,36450,50450,36450,50450
"Pierpont Community and Technical College","West Virginia","WV","Public","2 Year",9980,4918,14898,11472,21452
"University of South Florida: Saint Petersburg","Florida","FL","Public","4 Year",11610,5821,17431,16735,28345
"Martin University","Indiana","IN","Private","4 Year",7810,16500,24310,16500,24310
"Odessa College","Texas","TX","Public","2 Year",5412,2794,8206,5450,10862
"University of Alabama at Birmingham","Alabama","AL","Public","4 Year",6400,10710,17110,24630,31030
"Johnson & Wales University: Denver","Colorado","CO","Private","4 Year",12546,32091,44637,32091,44637
"Western Technical College","Wisconsin","WI","Public","2 Year",6584,4408,10992,6373,12957
"Illinois Institute of Technology","Illinois","IL","Private","4 Year",12762,47296,60058,47296,60058
"West Virginia State University","West Virginia","WV","Public","4 Year",11892,8167,20059,16072,27964
"Kean University","New Jersey","NJ","Public","4 Year",14470,12348,26818,19383,33853
"Hiwassee College","Tennessee","TN","Private","2 Year",7987,19571,27558,19571,27558
"Arizona Western College","Arizona","AZ","Public","2 Year",6700,2520,9220,9510,16210
"St. John's College","Maryland","MD","Private","4 Year",12602,53218,65820,53218,65820
"St. Joseph's College of Nursing","New York","NY","Private","2 Year",6000,21195,27195,21195,27195
"SUNY College of Technology at Canton","New York","NY","Public","2 Year",12900,8389,21289,18169,31069
"Clear Creek Baptist Bible College","Kentucky","KY","Private","4 Year",4160,9440,13600,9440,13600
"Maryland Institute College of Art","Maryland","MD","Private","4 Year",13280,48630,61910,48630,61910
"Augusta University","Georgia","GA","Public","4 Year",9640,10758,20398,29796,39436
"Virginia Wesleyan University","Virginia","VA","Private","4 Year",9256,36660,45916,36660,45916
"Concordia University Texas","Texas","TX","Private","4 Year",11018,31810,42828,31810,42828
"Cheyney University of Pennsylvania","Pennsylvania","PA","Public","4 Year",11018,9479,20497,14495,25513
"Webb Institute","New York","NY","Private","4 Year",15050,50175,65225,50175,65225
"Dakota State University","South Dakota","SD","Public","4 Year",6873,9276,16149,12249,19122
"Fort Scott Community College","Kansas","KS","Public","2 Year",5770,2880,8650,3330,9100
"Central Oregon Community College","Oregon","OR","Public","2 Year",10770,4938,15708,13218,23988
"Indiana State University","Indiana","IN","Public","4 Year",10590,9090,19680,19836,30426
"Jefferson College","Missouri","MO","Public","2 Year",6156,3330,9486,6510,12666
"Lycoming College","Pennsylvania","PA","Private","4 Year",12568,40315,52883,40315,52883
"University of Science and Arts of Oklahoma","Oklahoma","OK","Public","4 Year",6350,7215,13565,17565,23915
"California Institute of Technology","California","CA","Private","4 Year",15525,52362,67887,52362,67887
"Stevens Institute of Technology","New Jersey","NJ","Private","4 Year",15244,52202,67446,52202,67446
"Lasell College","Massachusetts","MA","Private","4 Year",15400,36000,51400,36000,51400
"Florida Memorial University","Florida","FL","Private","4 Year",7816,15536,23352,15536,23352
"Yeshiva Gedolah Rabbinical College","Florida","FL","Private","4 Year",8500,8300,16800,8300,16800
"College of the Siskiyous","California","CA","Public","2 Year",8000,1430,9430,9170,17170
"Finger Lakes Community College","New York","NY","Public","2 Year",9737,5158,14895,7450,17187
"Shepherd University","West Virginia","WV","Public","4 Year",10500,7548,18048,18048,28548
"Prairie View A&M University","Texas","TX","Public","4 Year",8925,10533,19458,24843,33768
"Concordia College","Alabama","AL","Private","4 Year",5700,10120,15820,10120,15820
"Western Nebraska Community College","Nebraska","NE","Public","2 Year",6766,2820,9586,2928,9694
"North Carolina Central University","North Carolina","NC","Public","4 Year",8909,6348,15257,19055,27964
"Jefferson College of Health Sciences","Virginia","VA","Private","4 Year",5870,26886,32756,26886,32756
"Eastern Mennonite University","Virginia","VA","Private","4 Year",11160,37100,48260,37100,48260
"University of San Diego","California","CA","Private","4 Year",12980,49358,62338,49358,62338
"Flagler College","Florida","FL","Private","4 Year",11340,18950,30290,18950,30290
"Trinity Christian College","Illinois","IL","Private","4 Year",9790,30650,40440,30650,40440
"Saint Michael's College","Vermont","VT","Private","4 Year",12220,45375,57595,45375,57595
"University of Texas at Tyler","Texas","TX","Public","4 Year",9502,8292,17794,21522,31024
"Central College","Iowa","IA","Private","4 Year",10280,37295,47575,37295,47575
"LIU Post","New York","NY","Private","4 Year",14020,37715,51735,37715,51735
"East Mississippi Community College","Mississippi","MS","Public","2 Year",4800,3440,8240,6440,11240
"Northern Oklahoma College","Oklahoma","OK","Public","2 Year",7080,4170,11250,10755,17835
"Beis Medrash Heichal Dovid","New York","NY","Private","4 Year",4500,9500,14000,9500,14000
"Cedarville University","Ohio","OH","Private","4 Year",7360,30270,37630,30270,37630
"Capital University","Ohio","OH","Private","4 Year",10842,35466,46308,35466,46308
"Truman State University","Missouri","MO","Public","4 Year",8780,7729,16509,14581,23361
"Urbana University","Ohio","OH","Private","4 Year",9998,23700,33698,23700,33698
"University Of Texas Rio Grande Valley","Texas","TX","Public","4 Year",8124,7813,15937,20263,28387
"Clarks Summit University","Pennsylvania","PA","Private","4 Year",6320,23890,30210,23890,30210
"Johnson & Wales University: Charlotte","North Carolina","NC","Private","4 Year",14148,32091,46239,32091,46239
"North Iowa Area Community College","Iowa","IA","Public","2 Year",7128,5408,12536,7721,14849
"Lewis-Clark State College","Idaho","ID","Public","4 Year",7580,6618,14198,19236,26816
"Huntington University","Indiana","IN","Private","4 Year",8668,26180,34848,26180,34848
"Connecticut College","Connecticut","CT","Private","4 Year",15150,54820,69970,54820,69970
"Creighton University","Nebraska","NE","Private","4 Year",11036,39916,50952,39916,50952
"Mohawk Valley Community College","New York","NY","Public","2 Year",10470,5256,15726,9626,20096
"Ecclesia College","Arkansas","AR","Private","4 Year",5810,15140,20950,15140,20950
"Northeast Texas Community College","Texas","TX","Public","2 Year",6300,2849,9149,6149,12449
"Western Washington University","Washington","WA","Public","4 Year",11466,8132,19598,23544,35010
"Savannah College of Art and Design","Georgia","GA","Private","4 Year",14550,36630,51180,36630,51180
"Colorado Mountain College","Colorado","CO","Public","2 Year",11658,2700,14358,13890,25548
"Hebrew Theological College","Illinois","IL","Private","4 Year",12380,12920,25300,12920,25300
"University of Saint Joseph","Connecticut","CT","Private","4 Year",11428,39173,50601,39173,50601
"Evergreen State College","Washington","WA","Public","4 Year",11346,7949,19295,26459,37805
"Harris-Stowe State University","Missouri","MO","Public","4 Year",9250,5340,14590,9973,19223
"California State University: Bakersfield","California","CA","Public","4 Year",13746,7147,20893,19027,32773
"Tabor College","Kansas","KS","Private","4 Year",9850,28245,38095,28245,38095
"Mercy College","New York","NY","Private","4 Year",14400,19042,33442,19042,33442
"Quincy University","Illinois","IL","Private","4 Year",10500,28462,38962,28462,38962
"Ohio State University Agricultural Technical Institute","Ohio","OH","Public","2 Year",8696,7658,16354,27674,36370
"Middle Georgia State University","Georgia","GA","Public","4 Year",9080,4608,13688,13568,22648
"Walsh University","Ohio","OH","Private","4 Year",10680,29980,40660,29980,40660
"Saint Joseph's College of Maine","Maine","ME","Private","4 Year",13680,35650,49330,35650,49330
"Maranatha Baptist University","Wisconsin","WI","Private","4 Year",7100,15410,22510,15410,22510
"Mercer University","Georgia","GA","Private","4 Year",11616,36894,48510,36894,48510
"Ohio Dominican University","Ohio","OH","Private","4 Year",10948,31080,42028,31080,42028
"University of Saint Francis","Indiana","IN","Private","4 Year",9840,30615,40455,30615,40455
"Talmudical Seminary Oholei Torah","New York","NY","Private","4 Year",7700,9800,17500,9800,17500
"Lincoln Christian University","Illinois","IL","Private","4 Year",7564,13200,20764,13200,20764
"Wayland Baptist University","Texas","TX","Private","4 Year",7992,20070,28062,20070,28062
"Yeshiva Derech Chaim","New York","NY","Private","4 Year",3800,12100,15900,12100,15900
"University of Wyoming","Wyoming","WY","Public","4 Year",10320,5400,15720,17490,27810
"North Georgia Technical College","Georgia","GA","Public","2 Year",4000,3268,7268,5938,9938
"Clarke University","Iowa","IA","Private","4 Year",9600,33350,42950,33350,42950
"Wisconsin Indianhead Technical College","Wisconsin","WI","Public","2 Year",7408,4404,11812,6450,13858
"Penn State Hazleton","Pennsylvania","PA","Public","4 Year",11570,14468,26038,23028,34598
"Whitworth University","Washington","WA","Private","4 Year",11496,43640,55136,43640,55136
"University of Pittsburgh at Johnstown","Pennsylvania","PA","Public","4 Year",9980,13878,23858,25122,35102
"SUNY University at Albany","New York","NY","Public","4 Year",13664,9756,23420,26596,40260
"Simpson University","California","CA","Private","4 Year",8140,27700,35840,27700,35840
"Trine University","Indiana","IN","Private","4 Year",10810,32175,42985,32175,42985
"Lamar Community College","Colorado","CO","Public","2 Year",6588,3950,10538,6332,12920
"Colgate University","New York","NY","Private","4 Year",13995,55870,69865,55870,69865
"Eastern Illinois University","Illinois","IL","Public","4 Year",9882,11803,21685,14023,23905
"Marist College","New York","NY","Private","4 Year",15550,39600,55150,39600,55150
"Shawnee State University","Ohio","OH","Public","4 Year",10864,8556,19420,14714,25578
"Corban University","Oregon","OR","Private","4 Year",10228,33040,43268,33040,43268
"Clarkson College","Nebraska","NE","Private","4 Year",5398,16920,22318,16920,22318
"LaGrange College","Georgia","GA","Private","4 Year",11630,30470,42100,30470,42100
"Catawba College","North Carolina","NC","Private","4 Year",10488,30520,41008,30520,41008
"Fairleigh Dickinson University: Metropolitan Campus","New Jersey","NJ","Private","4 Year",13348,40236,53584,40236,53584
"Northeast Mississippi Community College","Mississippi","MS","Public","2 Year",4480,3816,8296,6656,11136
"University of Maine","Maine","ME","Public","4 Year",10418,11170,21588,30970,41388
"University of South Dakota","South Dakota","SD","Public","4 Year",8216,9061,17277,12425,20641
"Stanford University","California","CA","Private","4 Year",15763,51354,67117,51354,67117
"Reed College","Oregon","OR","Private","4 Year",14210,56340,70550,56340,70550
"Southwestern Assemblies of God University","Texas","TX","Private","4 Year",7500,20952,28452,20952,28452
"Montana State University","Montana","MT","Public","4 Year",10100,7421,17521,24849,34949
"Western New England University","Massachusetts","MA","Private","4 Year",13590,36804,50394,36804,50394
"Furman University","South Carolina","SC","Private","4 Year",12712,49532,62244,49532,62244
"Anderson University","South Carolina","SC","Private","4 Year",9830,28000,37830,28000,37830
"Sierra Nevada College","Nevada","NV","Private","4 Year",13357,34241,47598,34241,47598
"Miami University: Oxford","Ohio","OH","Public","4 Year",13860,15378,29238,34895,48755
"Kentucky Wesleyan College","Kentucky","KY","Private","4 Year",9764,26440,36204,26440,36204
"Cornell College","Iowa","IA","Private","4 Year",9384,42299,51683,42299,51683
"Greenville University","Illinois","IL","Private","4 Year",9048,27152,36200,27152,36200
"Washington University in St. Louis","Missouri","MO","Private","4 Year",16440,53399,69839,53399,69839
"Georgia Southwestern State University","Georgia","GA","Public","4 Year",8120,6336,14456,19412,27532
"Lees-McRae College","North Carolina","NC","Private","4 Year",11078,26198,37276,26198,37276
"North Central Texas College","Texas","TX","Public","2 Year",3970,2730,6700,7980,11950
"Scripps College","California","CA","Private","4 Year",16932,55024,71956,55024,71956
"Rockhurst University","Missouri","MO","Private","4 Year",10200,37590,47790,37590,47790
"Milwaukee Institute of Art & Design","Wisconsin","WI","Private","4 Year",9300,37360,46660,37360,46660
"Holy Cross College","Indiana","IN","Private","4 Year",11500,30820,42320,30820,42320
"Davis College","New York","NY","Private","4 Year",8100,17150,25250,17150,25250
"Rogers State University","Oklahoma","OK","Public","4 Year",8616,6870,15486,15210,23826
"Missouri State University","Missouri","MO","Public","4 Year",8755,7452,16207,15342,24097
"Southern Arkansas University Tech","Arkansas","AR","Public","2 Year",2800,5250,8050,6690,9490
"Mills College","California","CA","Private","4 Year",13448,30257,43705,30257,43705
"Northwest Kansas Technical College","Kansas","KS","Public","2 Year",4850,8300,13150,8300,13150
"Livingstone College","North Carolina","NC","Private","4 Year",6794,18297,25091,18297,25091
"Rabbinical College of America","New Jersey","NJ","Private","4 Year",7500,11500,19000,11500,19000
"West Virginia Wesleyan College","West Virginia","WV","Private","4 Year",8856,31640,40496,31640,40496
"Missouri State University: West Plains","Missouri","MO","Public","2 Year",8537,4305,12842,8355,16892
"Penn State Harrisburg","Pennsylvania","PA","Public","4 Year",13280,15198,28478,24450,37730
"Bethune-Cookman University","Florida","FL","Private","4 Year",9412,14814,24226,14814,24226
"Brigham Young University-Idaho","Idaho","ID","Private","4 Year",4592,4118,8710,4118,8710
"Central Washington University","Washington","WA","Public","4 Year",11115,8072,19187,23053,34168
"Fond du Lac Tribal and Community College","Minnesota","MN","Public","2 Year",3598,5258,8856,5258,8856
"La Salle University","Pennsylvania","PA","Private","4 Year",15080,30560,45640,30560,45640
"Ranger College","Texas","TX","Public","2 Year",4231,3065,7296,5765,9996
"St. John's College","New Mexico","NM","Private","4 Year",12148,54118,66266,54118,66266
"Loma Linda University","California","CA","Private","4 Year",11655,35192,46847,35192,46847
"Louisiana State University Health Sciences Center New Orleans","Louisiana","LA","Public","4 Year",5650,6923,12573,13705,19355
"Missouri Valley College","Missouri","MO","Private","4 Year",9150,20600,29750,20600,29750
"Emerson College","Massachusetts","MA","Private","4 Year",17690,46852,64542,46852,64542
"Ramapo College of New Jersey","New Jersey","NJ","Public","4 Year",12450,14374,26824,23715,36165
"United Tribes Technical College","North Dakota","ND","Private","2 Year",5084,4482,9566,4482,9566
"West Virginia University Institute of Technology","West Virginia","WV","Public","4 Year",11390,7464,18854,18648,30038
"Blackburn College","Illinois","IL","Private","4 Year",7930,22410,30340,22410,30340
"Loyola Marymount University","California","CA","Private","4 Year",14490,48522,63012,48522,63012
"Lesley University","Massachusetts","MA","Private","4 Year",16230,28770,45000,28770,45000
"Wagner College","New York","NY","Private","4 Year",14124,47090,61214,47090,61214
"Oklahoma City University","Oklahoma","OK","Private","4 Year",8896,31026,39922,31026,39922
"College of Coastal Georgia","Georgia","GA","Public","4 Year",9520,3971,13491,10578,20098
"Case Western Reserve University","Ohio","OH","Private","4 Year",15190,49042,64232,49042,64232
"Yeshiva College of the Nations Capital","Maryland","MD","Private","4 Year",10400,10200,20600,10200,20600
"University of Texas at San Antonio","Texas","TX","Public","4 Year",11578,9900,21478,24262,35840
"Lawrence Technological University","Michigan","MI","Private","4 Year",9950,33570,43520,33570,43520
"Pearl River Community College","Mississippi","MS","Public","2 Year",4900,3500,8400,5898,10798
"Wesleyan University","Connecticut","CT","Private","4 Year",15060,54914,69974,54914,69974
"Mayville State University","North Dakota","ND","Public","4 Year",7840,6666,14506,9399,17239
"Multnomah University","Oregon","OR","Private","4 Year",8870,25900,34770,25900,34770
"Bowdoin College","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620
"Western New Mexico University","New Mexico","NM","Public","4 Year",9136,6824,15960,15231,24367
"Landmark College","Vermont","VT","Private","2 Year",11840,56800,68640,56800,68640
"Heritage Christian University","Alabama","AL","Private","4 Year",5745,12312,18057,12312,18057
"Hamline University","Minnesota","MN","Private","4 Year",10358,41298,51656,41298,51656
"Lamar University","Texas","TX","Public","4 Year",8920,10192,19112,22642,31562
"Tiffin University","Ohio","OH","Private","4 Year",10600,25000,35600,25000,35600
"Northeast Community College","Nebraska","NE","Public","2 Year",8605,3480,12085,4635,13240
"Oak Hills Christian College","Minnesota","MN","Private","4 Year",6984,17314,24298,17314,24298
"Limestone College","South Carolina","SC","Private","4 Year",9765,26000,35765,26000,35765
"Otero Junior College","Colorado","CO","Public","2 Year",7112,4882,11994,7861,14973
"Visible Music College","Tennessee","TN","Private","4 Year",6000,19500,25500,19500,25500
"Tennessee State University","Tennessee","TN","Public","4 Year",7806,8008,15814,21364,29170
"LDS Business College","Utah","UT","Private","2 Year",5600,3440,9040,3440,9040
"Cameron University","Oklahoma","OK","Public","4 Year",5452,6450,11902,15870,21322
"Niagara University","New York","NY","Private","4 Year",13200,33180,46380,33180,46380
"Southwestern Community College","Iowa","IA","Public","2 Year",7660,5910,13570,6120,13780
"Winona State University","Minnesota","MN","Public","4 Year",9010,9425,18435,15348,24358
"Wesley College","Delaware","DE","Private","4 Year",11717,26406,38123,26406,38123
"Park University","Missouri","MO","Private","4 Year",8200,12650,20850,12650,20850
"University of Texas at Arlington","Texas","TX","Public","4 Year",10302,10250,20552,25134,35436
"SUNY College of Agriculture and Technology at Morrisville","New York","NY","Public","4 Year",13550,8481,22031,12943,26493
"Culinary Institute of America","New York","NY","Private","4 Year",11560,32720,44280,32720,44280
"Sullivan County Community College","New York","NY","Public","2 Year",9828,5690,15518,10504,20332
"Colorado State University","Colorado","CO","Public","4 Year",11964,11831,23795,29732,41696
"Texas A&M University-Kingsville","Texas","TX","Public","4 Year",8760,8462,17222,20912,29672
"Sam Houston State University","Texas","TX","Public","4 Year",9386,10183,19569,22633,32019
"Johns Hopkins University: Peabody Conservatory of Music","Maryland","MD","Private","4 Year",15838,50180,66018,50180,66018
"Southern University and Agricultural and Mechanical College","Louisiana","LA","Public","4 Year",9105,9123,18228,16472,25577
"Torah Temimah Talmudical Seminary","New York","NY","Private","4 Year",3500,11050,14550,11050,14550
"Kansas Wesleyan University","Kansas","KS","Private","4 Year",9500,29500,39000,29500,39000
"University of Wisconsin-Milwaukee","Wisconsin","WI","Public","4 Year",10728,11084,21812,22364,33092
"SUNY College at Purchase","New York","NY","Public","4 Year",13764,8698,22462,18478,32242
"Neumann University","Pennsylvania","PA","Private","4 Year",13020,31400,44420,31400,44420
"Claremont McKenna College","California","CA","Private","4 Year",16705,54405,71110,54405,71110
"University of Indianapolis","Indiana","IN","Private","4 Year",10288,29688,39976,29688,39976
