"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
537,2015,6,8,1,"DL","MSN",0,142,0
1362,2015,4,2,4,"DL","ROC",0,25,0
1851,2015,8,22,6,"DL","EWR",0,152,0
52,2015,4,17,5,"DL","MSP",0,93,0
1617,2015,12,28,1,"DL","RSW",83,23,0
87,2015,6,23,2,"DL","MSP",44,10,0
831,2015,2,18,3,"DL","LGA",0,6,0
1490,2015,2,21,6,"DL","LAS",110,2,0
1096,2015,2,22,7,"DL","ATL",0,19,0
2263,2015,1,6,2,"DL","SEA",0,10,0
1704,2015,8,23,7,"DL","FLL",56,2,0
2657,2015,3,1,7,"DL","PHX",0,13,0
1225,2015,12,28,1,"DL","TPA",0,6,0
916,2015,8,3,1,"DL","PVD",0,48,0
1854,2015,12,18,5,"DL","DEN",23,1,0
1405,2015,2,25,3,"DL","MCO",99,9,0
1804,2015,9,4,5,"DL","FLL",0,16,0
1604,2015,8,21,5,"DL","FLL",0,51,0
2287,2015,2,22,7,"DL","ATL",0,15,0
925,2015,12,20,7,"DL","DCA",10,43,0
2279,2015,12,19,6,"DL","DEN",0,55,0
2413,2015,8,18,2,"DL","SEA",18,3,0
1645,2015,11,6,5,"DL","DEN",0,13,0
2646,2015,2,18,3,"DL","ATL",0,15,0
2423,2015,2,21,6,"DL","SEA",0,60,0
1442,2015,2,7,6,"DL","FLL",0,77,0
1703,2015,7,1,3,"DL","TPA",0,16,0
1154,2015,1,6,2,"DL","BNA",90,10,0
1917,2015,2,8,7,"DL","LAS",8,28,0
1707,2015,2,2,1,"DL","RDU",45,48,0
1997,2015,6,20,6,"DL","MCI",0,142,0
1854,2015,7,8,3,"DL","DEN",0,144,0
2658,2015,6,21,7,"DL","BDL",0,80,0
87,2015,3,13,5,"DL","SAN",18,12,0
2449,2015,6,18,4,"DL","DCA",51,21,0
21,2015,3,4,3,"DL","FLL",0,16,0
1125,2015,3,21,6,"AA","DFW",0,39,0
1893,2015,2,21,6,"DL","ATL",7,34,0
2468,2015,3,2,1,"DL","MSP",0,18,0
2552,2015,8,9,7,"DL","MSN",0,124,0
1929,2015,4,5,7,"DL","MCO",0,24,0
1821,2015,5,1,5,"DL","PHX",0,13,0
855,2015,6,5,5,"DL","SLC",0,36,0
2793,2015,6,28,7,"DL","ATL",0,38,0
1284,2015,2,2,1,"DL","MKE",43,10,0
1405,2015,8,13,4,"DL","MCO",108,9,0
2555,2015,4,9,4,"DL","FLL",0,7,0
855,2015,6,29,1,"DL","SLC",0,123,0
2564,2015,4,3,5,"DL","RSW",0,85,0
739,2015,5,14,4,"DL","PWM",0,16,0
1870,2015,1,12,1,"DL","IND",13,6,0
1055,2015,7,21,2,"DL","MSP",0,52,0
1154,2015,2,2,1,"DL","BNA",0,83,0
2027,2015,5,23,6,"DL","MSN",0,93,0
2215,2015,2,3,2,"AA","DFW",0,35,0
158,2015,4,7,2,"DL","BOS",0,23,0
1731,2015,2,17,2,"DL","MKE",0,90,0
745,2015,3,7,6,"DL","SFO",0,20,0
2390,2015,3,6,5,"DL","GRR",39,7,0
1921,2015,3,9,1,"DL","PHX",0,12,0
2021,2015,12,30,3,"DL","PHX",33,7,0
745,2015,4,8,3,"DL","SFO",0,13,0
630,2015,6,27,6,"DL","ATL",0,26,0
1084,2015,12,5,6,"DL","BWI",0,16,0
2103,2015,8,30,7,"DL","DEN",10,7,0
2436,2015,1,7,3,"DL","SEA",0,166,0
2303,2015,5,30,6,"DL","GRR",0,26,0
43,2015,12,6,7,"AA","DFW",9,7,0
2414,2015,12,7,1,"DL","BDL",0,18,0
1947,2015,8,3,1,"DL","DFW",0,74,0
1241,2015,8,14,5,"AA","DFW",0,18,0
2162,2015,2,19,4,"DL","PHL",0,34,0
1621,2015,6,19,5,"DL","TPA",12,14,0
1749,2015,6,15,1,"DL","PHL",0,85,0
2327,2015,11,18,3,"DL","SFO",0,131,0
2557,2015,1,3,6,"DL","ATL",0,13,0
713,2015,11,22,7,"DL","MCO",1,8,0
2656,2015,5,18,1,"DL","PIT",293,14,0
1223,2015,9,17,4,"DL","LAX",15,3,0
2486,2015,6,17,3,"DL","PVD",65,2,0
1721,2015,2,20,5,"DL","TPA",0,48,0
2405,2015,9,4,5,"DL","ALB",25,8,0
1336,2015,12,30,3,"DL","BDL",0,14,0
1144,2015,11,2,1,"DL","DCA",0,21,0
1269,2015,3,10,2,"AA","DFW",42,2,0
1621,2015,12,29,2,"DL","TPA",0,119,0
2067,2015,7,20,1,"AA","PHX",0,89,0
1622,2015,9,23,3,"DL","BOS",0,7,0
901,2015,7,17,5,"DL","ATL",18,3,0
1905,2015,5,1,5,"DL","MCO",0,20,0
2248,2015,3,15,7,"DL","LGA",5,4,0
1218,2015,7,14,2,"DL","DCA",0,74,0
1688,2015,3,19,4,"DL","GRR",24,46,0
1565,2015,4,9,4,"DL","BNA",31,68,0
2057,2015,12,24,4,"DL","FLL",0,40,0
1719,2015,3,1,7,"DL","LAX",0,15,0
1565,2015,5,30,6,"DL","BNA",0,18,0
1921,2015,7,28,2,"DL","PHX",0,154,0
1237,2015,6,10,3,"DL","BOS",0,24,0
1372,2015,2,17,2,"DL","BUF",10,133,0
667,2015,7,15,3,"AA","PHX",0,66,0
1809,2015,12,29,2,"DL","SLC",0,55,0
21,2015,6,14,7,"DL","FLL",0,14,0
19,2015,2,17,2,"DL","MCO",0,87,0
338,2015,6,7,7,"DL","AUS",111,11,0
301,2015,6,15,1,"AA","MIA",15,12,0
2188,2015,4,9,4,"DL","ALB",0,12,0
2403,2015,11,15,7,"DL","ATL",0,40,0
1369,2015,3,2,1,"DL","MCI",0,145,0
1154,2015,1,23,5,"DL","BNA",32,2,0
867,2015,7,8,3,"AA","CLT",0,15,0
831,2015,8,16,7,"DL","LGA",11,10,0
2623,2015,11,26,4,"DL","STL",0,28,0
2215,2015,7,8,3,"AA","DFW",0,28,0
311,2015,8,28,5,"DL","ATL",20,7,0
281,2015,7,6,1,"DL","SEA",0,12,0
2339,2015,11,11,3,"DL","LGA",0,42,0
2263,2015,8,25,2,"DL","SEA",0,20,0
2357,2015,9,1,2,"DL","MKE",0,62,0
1845,2015,9,13,7,"DL","LAX",71,7,0
2848,2015,12,21,1,"DL","MIA",0,63,0
1893,2015,4,9,4,"DL","ATL",124,9,0
1829,2015,8,20,4,"DL","MIA",0,45,0
1421,2015,3,28,6,"DL","BNA",0,23,0
765,2015,5,30,6,"DL","MCI",0,73,0
2617,2015,6,10,3,"DL","ATL",0,6,0
1223,2015,3,17,2,"DL","LAX",0,33,0
2629,2015,6,18,4,"DL","ORD",0,20,0
2248,2015,2,22,7,"DL","LGA",14,13,0
2005,2015,5,5,2,"DL","ATL",0,177,0
2500,2015,2,23,1,"DL","MSN",0,131,36
2028,2015,3,28,6,"DL","MCO",0,28,0
1660,2015,7,14,2,"DL","EWR",108,21,0
1749,2015,2,23,1,"DL","PHL",28,2,0
1152,2015,9,18,5,"DL","EWR",9,7,0
2633,2015,3,4,3,"DL","IND",9,4,0
901,2015,4,17,5,"DL","ATL",43,5,0
1144,2015,12,13,7,"DL","DCA",0,68,0
1637,2015,5,18,1,"DL","BWI",0,59,0
1981,2015,2,1,7,"DL","GRR",0,18,0
1707,2015,3,1,7,"DL","SLC",8,14,0
537,2015,7,27,1,"DL","PHL",0,190,0
1436,2015,3,2,1,"DL","BWI",0,31,0
1979,2015,11,30,1,"AA","CLT",21,1,0
1644,2015,7,1,3,"DL","LAX",8,4,0
1096,2015,12,28,1,"DL","MSP",0,91,0
1207,2015,8,15,6,"DL","SLC",0,92,0
1220,2015,2,2,1,"DL","ATL",0,53,12
1214,2015,6,28,7,"DL","DFW",0,28,0
1621,2015,12,22,2,"DL","TPA",0,39,0
2144,2015,2,18,3,"DL","DCA",22,4,0
1145,2015,2,16,1,"DL","SFO",0,22,84
2437,2015,11,13,5,"DL","BOS",0,29,0
1704,2015,2,17,2,"DL","FLL",0,19,0
1330,2015,4,14,2,"DL","CLT",0,197,0
316,2015,11,22,7,"DL","ATL",0,11,0
2144,2015,3,22,7,"DL","DCA",0,13,0
1829,2015,2,20,5,"DL","MIA",0,18,0
1848,2015,8,14,5,"DL","LGA",0,79,0
1621,2015,5,30,6,"DL","TPA",0,10,0
1306,2015,5,27,3,"DL","LGA",4,45,0
2487,2015,5,11,1,"DL","PHL",9,13,0
1958,2015,3,4,3,"DL","MCO",0,14,0
1144,2015,3,1,7,"DL","DCA",0,123,0
2055,2015,2,1,7,"DL","MSN",5,15,0
1467,2015,3,4,3,"DL","STL",0,11,0
2467,2015,4,17,5,"DL","SLC",5,193,0
505,2015,6,18,4,"DL","CVG",12,5,0
2786,2015,6,22,1,"DL","GRB",0,29,0
2054,2015,5,3,7,"DL","SAT",0,76,0
2121,2015,2,11,3,"DL","ATL",6,14,0
549,2015,7,20,1,"AA","PHL",40,9,0
853,2015,7,14,2,"DL","RSW",5,11,0
1366,2015,8,21,5,"DL","RDU",61,4,0
188,2015,3,20,5,"DL","BOS",0,19,0
1715,2015,7,2,4,"DL","ATL",7,17,0
338,2015,1,8,4,"DL","ATL",163,74,0
1662,2015,3,2,1,"DL","JFK",0,12,0
2128,2015,6,20,6,"DL","MCO",0,85,0
1070,2015,9,12,6,"DL","BDL",0,20,0
1204,2015,6,13,6,"DL","MSN",0,25,0
2617,2015,12,29,2,"AA","DFW",14,6,0
870,2015,3,21,6,"DL","LGA",0,41,0
2092,2015,9,25,5,"DL","SFO",0,70,0
564,2015,6,22,1,"DL","ORD",0,18,0
630,2015,1,7,3,"DL","ATL",0,19,0
1706,2015,11,9,1,"DL","LAX",0,30,0
2287,2015,2,17,2,"DL","ATL",4,12,0
2144,2015,3,29,7,"DL","DCA",12,16,0
2580,2015,8,16,7,"DL","GRR",0,31,0
1210,2015,11,21,6,"DL","ATL",0,6,0
1287,2015,7,29,3,"DL","BNA",0,21,0
1621,2015,7,29,3,"DL","TPA",0,15,0
1220,2015,6,16,2,"DL","DCA",0,70,0
1204,2015,9,18,5,"DL","BDL",28,2,0
2022,2015,3,17,2,"DL","ORD",16,16,0
549,2015,8,7,5,"AA","PHL",21,1,0
781,2015,2,27,5,"DL","CLT",0,18,0
2157,2015,6,24,3,"DL","PHL",0,143,0
1645,2015,6,26,5,"DL","DEN",0,11,0
1225,2015,4,10,5,"DL","TPA",0,24,0
1369,2015,4,30,4,"DL","MCI",0,35,0
1804,2015,1,4,7,"DL","FLL",0,19,0
833,2015,2,17,2,"DL","SAN",91,7,0
1679,2015,12,29,2,"DL","EWR",0,65,0
1985,2015,12,27,7,"DL","DCA",0,83,0
1822,2015,2,20,5,"DL","BOS",0,9,0
855,2015,12,27,7,"DL","SLC",15,1,0
1225,2015,3,11,3,"DL","TPA",0,16,0
2453,2015,1,4,7,"DL","MKE",0,35,0
1214,2015,12,5,6,"DL","MSN",0,19,0
1855,2015,2,14,6,"DL","TPA",0,15,0
2643,2015,7,22,3,"DL","EWR",0,16,0
1997,2015,7,13,1,"DL","MCI",4,129,0
1845,2015,3,1,7,"DL","LAX",0,6,0
1650,2015,7,7,2,"DL","MSP",0,11,0
1372,2015,7,21,2,"DL","BUF",228,9,0
1057,2015,8,16,7,"DL","CLT",0,80,0
2623,2015,7,17,5,"DL","STL",21,1,0
537,2015,6,25,4,"DL","MSN",0,15,0
2486,2015,7,28,2,"DL","PVD",0,179,0
582,2015,2,11,3,"DL","BOS",0,70,0
1707,2015,3,16,1,"DL","SLC",0,24,0
1981,2015,2,8,7,"DL","GRR",0,44,0
1637,2015,12,19,6,"DL","BWI",0,19,0
582,2015,3,27,5,"DL","LGA",0,37,0
1220,2015,7,29,3,"DL","DCA",41,85,0
1893,2015,8,23,7,"DL","ATL",0,15,0
1848,2015,2,13,5,"DL","LGA",0,64,0
1182,2015,3,7,6,"DL","GRR",0,19,0
2393,2015,2,16,1,"DL","MSP",0,30,0
2027,2015,4,16,4,"DL","MSN",0,61,0
1821,2015,2,16,1,"DL","PHX",0,27,0
1207,2015,7,18,6,"DL","SLC",4,2,0
1495,2015,6,15,1,"DL","BDL",22,84,0
1436,2015,1,8,4,"DL","BWI",0,10,0
901,2015,7,21,2,"DL","ATL",0,14,0
1536,2015,8,25,2,"DL","BWI",0,34,0
1637,2015,11,15,7,"DL","BWI",0,41,0
1227,2015,1,31,6,"DL","RSW",0,129,0
1882,2015,8,19,3,"DL","SLC",63,8,0
2423,2015,6,20,6,"DL","SEA",13,6,0
1795,2015,6,10,3,"DL","PHX",17,56,0
1587,2015,12,30,3,"DL","ATL",181,12,0
320,2015,7,6,1,"DL","EWR",0,12,0
2622,2015,6,25,4,"DL","PHL",15,4,0
1204,2015,2,4,3,"DL","BDL",0,30,0
188,2015,7,17,5,"DL","BOS",18,5,0
512,2015,5,13,3,"DL","MSP",0,10,0
1057,2015,2,4,3,"DL","CLT",0,76,0
2564,2015,5,18,1,"DL","RSW",0,28,0
2144,2015,3,26,4,"DL","DCA",0,10,0
2656,2015,7,24,5,"DL","PIT",28,2,0
2636,2015,4,20,1,"DL","GRR",0,25,0
1622,2015,5,8,5,"DL","BOS",14,1,0
1719,2015,12,29,2,"DL","LAX",96,1,0
946,2015,6,17,3,"DL","MSP",0,14,0
1282,2015,8,16,7,"DL","FLL",0,144,0
1436,2015,8,23,7,"DL","BWI",0,34,0
1704,2015,3,26,4,"DL","FLL",0,8,0
1055,2015,2,22,7,"DL","MSP",323,9,0
719,2015,6,20,6,"DL","ORD",0,12,0
1424,2015,7,10,5,"DL","MCO",0,48,0
1155,2015,6,1,1,"DL","ROC",97,1,0
901,2015,3,5,4,"DL","ATL",0,91,0
1822,2015,8,2,7,"DL","BOS",7,3,0
1138,2015,1,9,5,"DL","LGA",0,49,0
1380,2015,5,26,2,"DL","PWM",80,2,0
1269,2015,6,25,4,"DL","ATL",48,14,0
537,2015,6,21,7,"DL","MSN",42,10,0
2477,2015,6,15,1,"DL","MKE",9,6,0
1055,2015,8,3,1,"DL","MSP",0,128,0
2848,2015,12,19,6,"DL","MIA",0,7,0
1704,2015,6,15,1,"DL","FLL",6,11,0
1257,2015,2,21,6,"DL","ATL",0,45,0
1579,2015,3,20,5,"DL","MIA",0,20,0
158,2015,1,25,7,"DL","BOS",0,26,0
541,2015,7,31,5,"DL","ATL",8,13,0
1511,2015,12,7,1,"DL","DEN",0,35,0
2005,2015,4,10,5,"DL","ATL",141,12,0
1921,2015,1,30,5,"DL","PHX",0,18,0
2413,2015,3,5,4,"DL","IND",0,65,0
276,2015,8,14,5,"DL","MCO",45,13,0
1220,2015,4,5,7,"DL","DCA",6,21,0
930,2015,8,23,7,"DL","PHX",0,22,0
1921,2015,2,2,1,"DL","PHX",0,2,131
719,2015,6,27,6,"DL","ORD",0,23,0
2220,2015,3,8,7,"DL","BOS",0,56,0
1331,2015,9,3,4,"DL","MCI",108,76,0
1385,2015,9,11,5,"DL","MSN",0,26,0
821,2015,11,9,1,"DL","ATL",0,195,0
2162,2015,7,5,7,"DL","PHL",2,15,0
733,2015,5,30,6,"DL","SEA",0,22,0
2283,2015,3,29,7,"DL","ATL",0,31,0
2263,2015,8,23,7,"DL","SEA",2,9,0
1448,2015,11,13,5,"AA","MIA",0,15,0
2303,2015,5,27,3,"DL","GRR",0,66,0
1967,2015,4,24,5,"DL","BUF",0,40,0
19,2015,3,27,5,"DL","MCO",17,75,0
2235,2015,1,7,3,"AA","PHX",0,20,0
2627,2015,3,6,5,"DL","MSN",1,28,0
850,2015,12,6,7,"DL","MSN",6,23,0
1715,2015,7,23,4,"DL","ATL",0,63,0
549,2015,7,16,4,"AA","PHL",2,3,0
1805,2015,2,2,1,"DL","MCO",0,29,0
1619,2015,7,29,3,"DL","SAN",0,10,0
1854,2015,3,6,5,"DL","DEN",0,105,0
1793,2015,2,5,4,"DL","CLT",0,83,0
2490,2015,3,1,7,"DL","OMA",0,102,0
2839,2015,9,30,3,"DL","PBI",0,119,0
1503,2015,6,30,2,"DL","ATL",107,6,0
1237,2015,5,27,3,"DL","BOS",0,117,0
2477,2015,3,27,5,"DL","BDL",17,10,0
1569,2015,12,23,3,"DL","MIA",0,19,0
929,2015,6,5,5,"DL","MSN",0,145,0
1823,2015,3,6,5,"DL","SEA",7,10,0
1704,2015,7,2,4,"DL","FLL",0,45,0
878,2015,4,10,5,"DL","LGA",4,9,0
1096,2015,11,11,3,"DL","MSP",0,137,0
1852,2015,6,15,1,"DL","GRR",0,14,0
1260,2015,4,16,4,"AA","DFW",79,7,0
1749,2015,6,9,2,"DL","PHL",9,8,0
2523,2015,5,15,5,"DL","BOS",0,8,0
1962,2015,4,27,1,"DL","IAD",3,14,0
2357,2015,7,13,1,"DL","MKE",15,6,0
677,2015,3,23,1,"DL","LGA",77,26,0
847,2015,5,11,1,"DL","ATL",11,3,0
2021,2015,1,30,5,"DL","PHX",0,174,0
21,2015,8,14,5,"DL","FLL",0,128,0
1913,2015,1,9,5,"DL","MSP",0,34,15
985,2015,4,8,3,"DL","GRR",0,10,0
1699,2015,4,19,7,"DL","GRB",11,80,0
1729,2015,12,4,5,"AA","CLT",0,21,0
1587,2015,12,1,2,"DL","ATL",19,4,0
1511,2015,5,28,4,"DL","DEN",0,10,0
821,2015,11,1,7,"DL","ATL",12,4,0
1921,2015,4,25,6,"DL","PHX",0,6,0
1749,2015,12,6,7,"DL","PHL",2,40,0
1781,2015,12,11,5,"DL","IAD",0,21,0
733,2015,7,21,2,"DL","SEA",0,74,0
1145,2015,1,4,7,"DL","SFO",0,13,0
43,2015,6,14,7,"AA","DFW",186,5,0
19,2015,1,4,7,"DL","MCO",0,80,0
1220,2015,8,13,4,"DL","DCA",0,33,0
1917,2015,12,21,1,"DL","LAS",19,8,0
1225,2015,8,14,5,"DL","TPA",0,12,0
1372,2015,5,26,2,"DL","BUF",0,86,0
865,2015,5,18,1,"DL","MSN",0,76,0
354,2015,3,21,6,"DL","SJU",0,25,0
1421,2015,3,19,4,"AA","MIA",0,24,0
2432,2015,9,3,4,"DL","BGR",0,36,0
1719,2015,11,30,1,"DL","LAX",18,1,0
505,2015,8,10,1,"DL","CVG",0,16,0
1882,2015,12,19,6,"DL","SLC",0,8,0
1823,2015,8,8,6,"DL","SEA",7,23,0
19,2015,2,25,3,"DL","MCO",0,99,0
2487,2015,5,10,7,"DL","PHL",45,1,0
2167,2015,1,15,4,"DL","SLC",0,33,0
2620,2015,2,18,3,"DL","SRQ",0,28,0
2490,2015,8,19,3,"DL","ATL",22,4,0
945,2015,7,22,3,"DL","MSP",0,16,0
720,2015,4,13,1,"DL","DCA",0,55,0
2021,2015,2,22,7,"DL","PHX",0,90,0
1350,2015,2,24,2,"DL","BOS",0,20,0
1973,2015,9,13,7,"DL","GRR",16,4,0
630,2015,4,9,4,"DL","ATL",21,9,0
2131,2015,2,13,5,"DL","LGA",28,24,0
1106,2015,5,4,1,"DL","MCI",0,61,0
394,2015,4,28,2,"DL","MDT",0,26,0
2521,2015,2,27,5,"DL","EWR",59,3,0
985,2015,4,10,5,"DL","GRR",116,16,0
2357,2015,8,5,3,"DL","MKE",0,96,0
1270,2015,9,2,3,"AA","MIA",0,20,0
21,2015,2,13,5,"DL","FLL",0,39,0
2656,2015,5,24,7,"DL","PIT",0,34,0
1248,2015,5,11,1,"DL","LAX",0,81,0
1822,2015,8,11,2,"DL","BOS",0,34,0
1823,2015,7,9,4,"DL","SEA",0,15,0
2482,2015,2,27,5,"DL","PIT",0,7,0
650,2015,9,3,4,"DL","GRR",0,22,0
1699,2015,4,9,4,"DL","GRB",0,69,0
158,2015,3,8,7,"DL","BOS",0,37,0
21,2015,7,19,7,"DL","FLL",0,86,0
1917,2015,8,10,1,"DL","LAS",5,12,0
1372,2015,5,1,5,"DL","BUF",0,59,0
2794,2015,11,9,1,"DL","ATL",0,22,0
678,2015,8,11,2,"DL","ORD",14,3,0
869,2015,1,2,5,"DL","ATL",0,29,0
1486,2015,6,12,5,"DL","DCA",41,1,0
1490,2015,6,5,5,"DL","LAS",0,17,0
733,2015,5,1,5,"DL","SEA",0,6,0
2830,2015,8,20,4,"DL","CLT",0,33,0
1903,2015,7,24,5,"DL","BOS",0,18,0
2480,2015,2,21,6,"DL","RDU",0,9,0
1330,2015,11,19,4,"DL","CLT",0,54,0
1096,2015,9,18,5,"DL","MSP",2,64,0
2235,2015,2,28,6,"AA","PHX",0,35,0
1986,2015,12,26,6,"AA","CLT",0,24,0
1511,2015,12,24,4,"DL","DEN",0,15,0
394,2015,4,16,4,"DL","MDT",0,90,0
1269,2015,6,27,6,"DL","ATL",22,9,0
2564,2015,4,7,2,"DL","RSW",0,84,0
1959,2015,6,20,6,"DL","TPA",0,50,0
1660,2015,6,20,6,"DL","EWR",0,13,0
1225,2015,7,26,7,"DL","TPA",26,9,0
901,2015,7,13,1,"DL","ATL",1,16,0
678,2015,9,3,4,"DL","ORD",97,19,0
740,2015,9,25,5,"DL","RDU",0,27,0
2617,2015,6,27,6,"DL","ATL",0,194,0
2480,2015,3,1,7,"DL","EWR",68,178,0
2317,2015,2,18,3,"DL","LAS",0,16,0
838,2015,7,18,6,"DL","ORD",0,167,0
1699,2015,1,9,5,"DL","BWI",0,91,0
2065,2015,9,11,5,"AA","CLT",0,43,0
1959,2015,2,16,1,"DL","TPA",0,21,0
1476,2015,1,15,4,"DL","MSP",15,1,0
2642,2015,5,31,7,"DL","ATL",0,11,0
2162,2015,5,29,5,"DL","PHL",23,1,0
301,2015,7,31,5,"AA","MIA",16,7,0
1226,2015,11,18,3,"DL","TPA",0,27,0
338,2015,1,17,6,"DL","ATL",0,18,0
1749,2015,6,30,2,"DL","PHL",57,20,0
2263,2015,2,4,3,"DL","SEA",0,15,0
671,2015,11,26,4,"DL","MEM",0,138,0
2633,2015,3,27,5,"DL","IND",12,22,0
1476,2015,5,25,1,"DL","MSP",0,20,0
1207,2015,2,13,5,"DL","SLC",0,93,0
2263,2015,2,24,2,"DL","SEA",1,25,0
678,2015,6,18,4,"DL","ORD",0,40,0
1867,2015,7,19,7,"AA","CLT",21,1,0
1389,2015,9,26,6,"DL","LAS",0,28,0
1479,2015,2,1,7,"DL","TPA",0,7,0
1278,2015,1,9,5,"AA","DFW",0,105,0
1220,2015,5,27,3,"DL","DCA",0,51,0
2385,2015,2,25,3,"DL","MSY",0,17,0
1989,2015,6,13,6,"DL","CLT",0,68,0
541,2015,7,23,4,"DL","ATL",128,1,0
1999,2015,3,25,3,"DL","LGA",0,14,0
1699,2015,6,20,6,"DL","GRB",26,8,0
2325,2015,1,10,6,"DL","EWR",40,3,0
