"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
901,2015,1,4,7,"DL","ATL",4,17,0
1084,2015,12,2,3,"DL","GRB",0,71,0
1226,2015,12,29,2,"DL","TPA",29,13,0
1658,2015,7,24,5,"DL","SFO",41,20,0
2629,2015,4,17,5,"DL","ORD",0,110,0
1981,2015,7,7,2,"AA","CLT",67,133,0
258,2015,11,2,1,"AA","DFW",0,79,0
1706,2015,2,18,3,"DL","LAX",10,55,0
1067,2015,7,29,3,"DL","PDX",35,48,0
1260,2015,5,5,2,"AA","DFW",0,24,0
821,2015,11,5,4,"DL","ATL",23,153,0
1405,2015,2,2,1,"DL","MCO",0,22,0
1644,2015,8,13,4,"DL","LAX",0,54,0
1278,2015,3,15,7,"AA","DFW",17,10,0
2623,2015,7,15,3,"DL","STL",5,21,0
2621,2015,9,30,3,"DL","SFO",0,39,0
1822,2015,6,1,1,"DL","CAK",3,12,0
1204,2015,1,14,3,"DL","BDL",0,96,0
1273,2015,1,23,5,"DL","MSY",9,192,0
1948,2015,12,22,2,"DL","STL",0,141,0
1823,2015,6,24,3,"DL","SEA",0,10,0
2357,2015,6,23,2,"DL","MKE",1,79,0
1369,2015,11,1,7,"DL","MCI",0,85,0
21,2015,7,2,4,"DL","FLL",0,46,0
1495,2015,8,12,3,"DL","BDL",0,25,0
780,2015,5,28,4,"DL","MSP",0,36,0
1382,2015,2,11,3,"DL","ORD",0,14,0
2234,2015,1,8,4,"DL","BDL",20,1,0
1207,2015,8,6,4,"DL","SLC",0,10,0
1628,2015,3,27,5,"DL","MSY",0,23,0
1204,2015,3,17,2,"DL","BDL",0,92,0
1537,2015,12,27,7,"DL","RSW",0,37,0
2393,2015,1,10,6,"DL","MSP",0,33,0
1823,2015,3,27,5,"DL","SEA",5,17,0
1569,2015,12,30,3,"DL","MIA",0,16,0
2230,2015,6,14,7,"DL","LGA",17,3,0
1248,2015,6,29,1,"DL","LAX",0,110,0
2228,2015,3,5,4,"DL","MCO",0,47,0
985,2015,4,20,1,"DL","GRR",13,16,0
1217,2015,3,24,2,"DL","LAS",0,73,0
1237,2015,12,19,6,"DL","BOS",0,15,0
1823,2015,11,13,5,"DL","SEA",4,26,0
1207,2015,9,2,3,"DL","SLC",46,5,0
2793,2015,12,29,2,"DL","MSP",158,4,0
87,2015,2,14,6,"DL","SAN",0,86,0
1287,2015,6,15,1,"DL","BNA",53,3,0
1282,2015,6,1,1,"DL","MIA",15,16,0
1882,2015,12,31,4,"DL","SLC",7,1,0
1945,2015,1,4,7,"DL","SRQ",24,2,0
1809,2015,8,23,7,"DL","SLC",0,36,0
1829,2015,7,5,7,"DL","MIA",0,29,0
2405,2015,9,23,3,"DL","ALB",0,86,0
1548,2015,2,26,4,"DL","LGA",1,21,0
2144,2015,8,14,5,"DL","DCA",13,16,0
1385,2015,7,13,1,"DL","TVC",19,2,0
1217,2015,8,8,6,"DL","ATL",0,39,0
2552,2015,7,7,2,"DL","MSN",5,84,0
2090,2015,9,10,4,"DL","MEM",0,75,0
1237,2015,6,11,4,"DL","BOS",0,27,0
2248,2015,3,4,3,"DL","LGA",0,6,0
2528,2015,4,3,5,"DL","ORD",0,21,0
1437,2015,9,13,7,"DL","BWI",0,21,0
43,2015,3,20,5,"AA","DFW",56,6,0
1225,2015,7,28,2,"DL","TPA",31,1,0
1270,2015,2,14,6,"DL","PIT",18,4,0
1989,2015,4,10,5,"DL","CLT",0,93,0
1805,2015,8,28,5,"DL","MCO",0,8,0
188,2015,9,20,7,"DL","BOS",0,111,0
901,2015,4,9,4,"DL","ATL",59,2,0
1703,2015,5,17,7,"DL","TPA",0,17,0
1805,2015,8,22,6,"DL","MCO",0,8,0
1989,2015,6,8,1,"DL","CLT",0,22,0
1055,2015,2,17,2,"DL","MSP",0,54,0
1490,2015,9,16,3,"DL","LAS",25,16,0
1284,2015,4,9,4,"DL","MKE",0,41,0
1637,2015,5,11,1,"DL","BWI",186,36,0
2623,2015,12,18,5,"DL","STL",0,16,0
1516,2015,12,10,4,"DL","RSW",12,6,0
1420,2015,8,27,4,"DL","SFO",0,22,0
1248,2015,11,28,6,"DL","LAX",0,7,0
2215,2015,5,6,3,"AA","DFW",0,43,0
1217,2015,5,17,7,"DL","LAS",4,15,0
1842,2015,12,28,1,"DL","ATL",17,2,0
1744,2015,11,5,4,"DL","DCA",0,49,0
2327,2015,11,28,6,"DL","SFO",0,22,0
1844,2015,7,6,1,"DL","DFW",0,128,0
1278,2015,1,10,6,"AA","DFW",0,24,0
855,2015,11,1,7,"DL","SLC",0,54,0
2391,2015,3,1,7,"DL","IND",36,16,0
1721,2015,3,4,3,"DL","TPA",0,84,0
2194,2015,6,18,4,"DL","ATL",61,3,0
1207,2015,7,24,5,"DL","SLC",0,112,0
2509,2015,2,25,3,"DL","MCI",0,66,0
2657,2015,7,6,1,"DL","PHX",0,20,0
678,2015,7,28,2,"DL","ORD",0,16,0
1055,2015,12,22,2,"DL","MSP",3,3,0
2621,2015,12,24,4,"DL","SFO",0,13,0
1352,2015,12,3,4,"DL","BOS",10,67,0
662,2015,6,20,6,"DL","MCO",57,2,0
901,2015,6,5,5,"DL","ATL",34,5,0
1645,2015,3,3,2,"DL","DEN",21,32,0
2278,2015,9,3,4,"DL","BOS",0,138,0
1854,2015,2,24,2,"DL","DEN",64,6,0
2021,2015,7,27,1,"DL","PHX",0,78,0
2502,2015,4,24,5,"DL","MSP",0,32,0
1424,2015,3,31,2,"DL","MCO",19,5,0
1805,2015,1,24,6,"DL","MCO",0,7,0
1409,2015,8,15,6,"DL","BGR",0,75,0
2162,2015,11,20,5,"DL","PHL",0,28,0
2385,2015,7,29,3,"DL","MSY",0,32,0
1057,2015,4,21,2,"DL","CLT",0,19,0
1854,2015,12,25,5,"DL","DEN",0,8,0
564,2015,11,5,4,"DL","ORD",0,126,0
630,2015,12,27,7,"DL","ATL",0,26,0
1182,2015,3,4,3,"DL","GRR",16,45,0
2385,2015,8,5,3,"DL","MSY",9,86,0
1182,2015,3,2,1,"DL","GRR",0,44,0
1893,2015,1,1,4,"DL","ATL",0,56,0
1621,2015,6,29,1,"DL","TPA",21,4,0
780,2015,6,1,1,"DL","MSP",171,8,0
2390,2015,3,29,7,"DL","GRR",0,172,0
1369,2015,4,9,4,"DL","MCI",0,17,0
1930,2015,8,31,1,"DL","PBI",0,71,0
2122,2015,7,23,4,"DL","BDL",0,85,0
1204,2015,3,3,2,"DL","BDL",10,6,0
1704,2015,7,9,4,"DL","FLL",0,15,0
2021,2015,12,11,5,"DL","PHX",0,48,0
2021,2015,3,29,7,"DL","PHX",0,47,0
731,2015,1,3,6,"DL","BOS",42,11,0
2274,2015,6,16,2,"DL","RDU",0,25,0
1207,2015,2,2,1,"DL","SLC",98,39,0
1511,2015,4,3,5,"DL","DEN",0,60,0
2508,2015,5,27,3,"DL","PVD",0,30,0
833,2015,2,24,2,"DL","SAN",0,59,0
582,2015,8,26,3,"DL","LGA",29,12,0
2449,2015,6,7,7,"DL","DCA",0,17,0
1948,2015,11,23,1,"DL","LGA",0,9,0
1905,2015,9,26,6,"DL","MCO",0,6,0
1703,2015,8,31,1,"DL","TPA",0,14,0
2540,2015,11,25,3,"DL","MSY",0,21,0
320,2015,7,10,5,"DL","EWR",0,64,0
1820,2015,12,20,7,"AA","CLT",0,24,0
1660,2015,6,18,4,"DL","EWR",67,1,0
1436,2015,11,5,4,"DL","BWI",8,7,0
1823,2015,3,16,1,"DL","SEA",0,11,0
582,2015,5,14,4,"DL","LGA",0,22,0
2603,2015,3,5,4,"DL","DFW",0,56,0
1997,2015,12,30,3,"DL","MCI",0,31,0
2022,2015,3,13,5,"DL","ORD",15,7,0
43,2015,8,20,4,"AA","DFW",0,20,0
1706,2015,12,24,4,"DL","LAX",0,13,0
1237,2015,1,22,4,"DL","RSW",0,27,0
2626,2015,9,16,3,"DL","PIT",0,25,0
1989,2015,6,18,4,"DL","CLT",124,5,0
1679,2015,9,30,3,"DL","BDL",0,75,0
1989,2015,7,8,3,"DL","CLT",30,9,0
1658,2015,8,6,4,"DL","SFO",11,21,0
1237,2015,12,26,6,"DL","BOS",0,131,0
301,2015,12,10,4,"AA","MIA",9,3,0
1565,2015,12,6,7,"DL","BNA",0,107,0
2231,2015,8,10,1,"DL","LGA",0,19,0
1248,2015,3,20,5,"DL","LAX",0,41,0
1888,2015,4,15,3,"DL","ATL",0,19,0
1218,2015,12,7,1,"DL","DCA",0,7,0
2555,2015,2,14,6,"DL","FLL",22,8,0
1702,2015,5,6,3,"DL","BDL",16,1,0
1706,2015,1,6,2,"DL","LAX",0,15,0
1921,2015,5,28,4,"DL","PHX",0,20,0
659,2015,8,12,3,"DL","ATL",0,75,0
2157,2015,8,11,2,"DL","PHL",0,57,0
2580,2015,9,3,4,"DL","ATL",35,7,0
1372,2015,2,13,5,"DL","BUF",0,10,0
2082,2015,5,20,3,"DL","MKE",0,23,0
2248,2015,1,8,4,"DL","LGA",0,20,0
1487,2015,6,14,7,"DL","MEM",25,8,0
1270,2015,6,17,3,"AA","MIA",0,15,0
1915,2015,5,27,3,"DL","ATL",86,22,0
1288,2015,1,16,5,"DL","BDL",0,100,0
892,2015,12,19,6,"DL","SEA",0,128,0
658,2015,3,1,7,"DL","IND",3,9,0
276,2015,2,14,6,"DL","MCO",63,2,0
1981,2015,8,6,4,"AA","CLT",30,4,0
745,2015,3,2,1,"DL","SFO",0,6,0
1055,2015,7,9,4,"DL","MSP",6,20,0
1621,2015,7,12,7,"DL","TPA",7,7,0
2501,2015,6,17,3,"DL","SAT",36,9,0
1331,2015,12,13,7,"DL","MCI",0,59,0
1389,2015,9,3,4,"DL","LAS",0,22,0
696,2015,12,6,7,"DL","PVD",149,14,0
1055,2015,2,1,7,"DL","MSP",0,18,0
867,2015,11,26,4,"DL","PHX",0,11,0
1291,2015,3,28,6,"DL","BOS",0,34,0
901,2015,2,19,4,"DL","ATL",30,8,0
1248,2015,4,24,5,"DL","LAX",0,34,0
1385,2015,9,10,4,"DL","MSN",0,19,0
1933,2015,7,6,1,"AA","PHL",0,69,0
1225,2015,8,22,6,"DL","TPA",0,75,148
1490,2015,6,22,1,"DL","LAS",0,15,0
1579,2015,1,4,7,"DL","MIA",0,86,0
940,2015,11,15,7,"DL","ROC",0,22,0
2228,2015,7,25,6,"DL","ATL",0,19,0
630,2015,2,27,5,"DL","LGA",29,10,0
1280,2015,4,9,4,"AA","DFW",70,8,0
1722,2015,9,19,6,"DL","SFO",0,56,0
1893,2015,2,17,2,"DL","ATL",0,27,0
1237,2015,9,2,3,"DL","BOS",6,17,0
1499,2015,1,9,5,"DL","RSW",0,22,0
2248,2015,2,26,4,"DL","LGA",124,14,0
1917,2015,12,28,1,"DL","LAS",35,12,0
1804,2015,8,11,2,"DL","FLL",2,16,0
1160,2015,5,26,2,"DL","PHL",0,54,0
1622,2015,3,27,5,"DL","BOS",0,12,0
2224,2015,8,24,1,"DL","OMA",42,2,0
1269,2015,6,19,5,"DL","ATL",0,9,0
1436,2015,12,20,7,"DL","BWI",3,35,0
2263,2015,6,17,3,"DL","SEA",20,2,0
1484,2015,1,4,7,"DL","TPA",0,118,0
582,2015,2,8,7,"DL","BOS",0,14,0
1821,2015,7,2,4,"DL","PHX",0,22,0
2521,2015,2,13,5,"DL","EWR",0,24,0
1882,2015,5,30,6,"DL","SLC",0,36,0
2461,2015,1,10,6,"DL","LGA",0,24,0
652,2015,5,4,1,"DL","GRB",0,21,0
1703,2015,7,27,1,"DL","TPA",0,151,0
1248,2015,11,8,7,"DL","LAX",0,25,0
1493,2015,2,5,4,"DL","ORD",5,20,0
1107,2015,1,7,3,"DL","STL",0,39,0
2603,2015,3,6,5,"DL","EWR",0,16,0
1343,2015,2,8,7,"DL","BUF",3,9,0
1621,2015,8,2,7,"DL","TPA",0,78,0
2028,2015,11,18,3,"DL","MCO",22,1,0
2174,2015,12,18,5,"DL","BOS",0,7,0
1385,2015,7,26,7,"DL","TVC",1,16,0
1645,2015,1,5,1,"DL","DEN",1,10,0
1369,2015,8,31,1,"DL","MCI",0,59,0
1287,2015,4,24,5,"DL","BNA",11,9,0
2623,2015,4,9,4,"DL","STL",131,7,0
2466,2015,3,8,7,"DL","LGA",0,41,0
1844,2015,4,21,2,"DL","DFW",2,10,0
833,2015,2,19,4,"DL","SAN",0,43,0
1330,2015,1,7,3,"DL","CLT",0,42,0
1502,2015,4,20,1,"DL","SEA",21,46,0
2477,2015,8,21,5,"DL","MKE",0,60,0
565,2015,7,14,2,"DL","PHL",0,21,0
2633,2015,4,2,4,"DL","IND",0,10,0
1688,2015,3,11,3,"DL","GRR",0,16,0
2633,2015,4,6,1,"DL","IND",0,62,0
1604,2015,6,26,5,"DL","FLL",7,9,0
1749,2015,6,7,7,"DL","PHL",7,30,0
1248,2015,4,2,4,"DL","LAX",0,6,0
2028,2015,9,13,7,"DL","MCO",0,50,0
503,2015,1,4,7,"DL","MSP",5,48,0
988,2015,7,29,3,"DL","JAX",20,30,0
1706,2015,6,25,4,"DL","LAX",0,29,0
2580,2015,7,10,5,"DL","GRR",0,64,0
1358,2015,6,8,1,"DL","RDU",0,8,0
917,2015,5,11,1,"DL","GRR",35,12,0
630,2015,3,2,1,"DL","LGA",4,16,0
1823,2015,12,17,4,"DL","SEA",0,107,0
1330,2015,12,14,1,"DL","CLT",0,27,0
855,2015,3,22,7,"DL","SLC",1,18,0
2014,2015,2,8,7,"DL","BNA",0,111,0
1637,2015,7,6,1,"DL","BWI",0,6,0
2048,2015,1,5,1,"DL","LGA",0,74,0
1719,2015,2,9,1,"DL","LAX",0,10,0
1737,2015,5,4,1,"DL","BWI",0,32,0
1207,2015,9,3,4,"DL","SLC",0,36,48
630,2015,2,2,1,"DL","ATL",0,73,0
1220,2015,4,27,1,"DL","DCA",0,13,0
1467,2015,3,6,5,"DL","STL",0,97,0
671,2015,5,21,4,"DL","BNA",23,3,0
662,2015,12,30,3,"DL","SEA",88,9,0
52,2015,2,28,6,"DL","MSP",0,17,0
1067,2015,8,17,1,"DL","PDX",76,5,0
1223,2015,3,20,5,"DL","LAX",0,142,0
1847,2015,1,9,5,"DL","SEA",11,5,4
1335,2015,1,4,7,"DL","IND",0,11,0
281,2015,9,28,1,"DL","SEA",0,42,0
1847,2015,1,26,1,"DL","SEA",28,8,0
1962,2015,2,25,3,"DL","PHL",0,25,0
1645,2015,8,14,5,"DL","DEN",34,7,0
2327,2015,11,2,1,"DL","SFO",0,10,0
1681,2015,6,18,4,"DL","PBI",23,1,0
1330,2015,5,27,3,"DL","CLT",0,12,0
1269,2015,1,16,5,"AA","DFW",13,2,0
1389,2015,12,7,1,"DL","LAS",0,57,0
2477,2015,8,16,7,"DL","MKE",0,18,0
338,2015,1,19,1,"DL","ATL",23,1,0
1487,2015,6,18,4,"DL","MEM",0,52,0
1704,2015,2,14,6,"DL","FLL",97,25,0
1437,2015,4,14,2,"DL","BWI",0,62,0
2656,2015,3,8,7,"DL","PIT",0,81,0
1923,2015,7,19,7,"AA","CLT",0,168,0
2325,2015,2,9,1,"DL","EWR",0,59,0
2656,2015,6,22,1,"DL","PIT",0,20,0
1988,2015,1,30,5,"DL","SFO",0,17,0
188,2015,4,13,1,"DL","BOS",0,88,0
21,2015,2,27,5,"DL","FLL",0,6,0
2220,2015,3,27,5,"DL","BOS",13,9,0
1958,2015,3,26,4,"DL","MCO",0,18,0
1225,2015,9,4,5,"DL","TPA",0,59,0
2533,2015,2,26,4,"DL","RDU",60,13,0
630,2015,2,24,2,"DL","LGA",76,5,0
1248,2015,6,2,2,"DL","LAX",0,25,0
2144,2015,2,16,1,"DL","DCA",0,17,0
2540,2015,4,21,2,"DL","MSY",0,43,0
1703,2015,3,5,4,"DL","TPA",0,34,0
281,2015,6,15,1,"DL","SEA",0,8,0
1845,2015,12,27,7,"DL","LAX",0,17,0
1218,2015,3,6,5,"DL","DCA",0,11,0
738,2015,5,31,7,"DL","ORF",0,37,0
281,2015,11,29,7,"DL","SEA",0,26,0
1067,2015,5,27,3,"DL","PDX",41,6,0
1220,2015,7,13,1,"DL","DCA",0,37,0
281,2015,7,2,4,"DL","SEA",22,6,0
1645,2015,3,26,4,"DL","DEN",40,14,0
1032,2015,1,6,2,"AA","MIA",8,9,0
582,2015,7,25,6,"DL","LGA",0,32,0
1917,2015,2,15,7,"DL","LAS",0,40,0
2131,2015,6,18,4,"DL","LGA",11,5,0
2231,2015,9,16,3,"DL","LGA",0,22,0
808,2015,11,21,6,"DL","DCA",0,12,0
2027,2015,4,21,2,"DL","MSN",0,12,0
930,2015,11,8,7,"DL","MIA",1,22,0
1084,2015,3,3,2,"DL","JFK",99,5,0
942,2015,5,15,5,"DL","MCI",0,13,0
2051,2015,4,10,5,"DL","RSW",0,189,0
1493,2015,1,21,3,"DL","ORD",0,68,0
1490,2015,6,11,4,"DL","LAS",1,28,0
1823,2015,9,6,7,"DL","SEA",0,12,0
1822,2015,1,21,3,"DL","BOS",0,11,0
1621,2015,7,17,5,"DL","TPA",10,5,0
338,2015,6,8,1,"DL","AUS",9,26,0
1138,2015,1,5,1,"DL","LGA",12,14,0
2482,2015,2,20,5,"DL","PIT",0,103,0
2658,2015,6,28,7,"DL","BDL",0,50,0
726,2015,8,20,4,"DL","MCO",0,13,0
276,2015,6,27,6,"DL","MCO",0,26,0
2028,2015,11,20,5,"DL","MCO",0,33,0
2128,2015,7,19,7,"DL","MCO",0,18,0
2656,2015,6,12,5,"DL","PIT",0,20,0
2624,2015,3,30,1,"DL","BUF",0,20,0
2148,2015,1,5,1,"DL","LGA",9,4,0
1981,2015,8,3,1,"AA","CLT",0,3,0
1405,2015,3,27,5,"DL","MCO",43,1,0
895,2015,6,22,1,"DL","BOS",10,7,0
2121,2015,1,23,5,"DL","ATL",14,8,0
1207,2015,1,4,7,"DL","SLC",0,20,0
2357,2015,7,1,3,"DL","MKE",17,2,0
1369,2015,5,28,4,"DL","MCI",0,40,0
276,2015,5,13,3,"DL","MCO",0,9,0
1888,2015,7,18,6,"DL","ATL",2,16,0
2656,2015,8,23,7,"DL","PIT",0,54,0
1096,2015,9,6,7,"DL","MSP",0,189,0
2486,2015,5,18,1,"DL","ATL",20,8,0
1845,2015,9,3,4,"DL","LAX",39,21,0
1330,2015,6,10,3,"DL","TVC",17,112,0
1055,2015,1,3,6,"DL","MSP",0,29,0
1490,2015,7,21,2,"DL","LAS",0,17,0
1917,2015,12,20,7,"DL","LAS",3,12,0
1424,2015,2,18,3,"DL","BNA",0,43,0
2194,2015,6,11,4,"DL","ATL",12,3,0
1424,2015,8,21,5,"DL","MCO",0,137,0
1210,2015,9,17,4,"DL","RDU",0,21,0
1560,2015,4,11,6,"DL","MSP",197,4,0
301,2015,8,20,4,"AA","MIA",19,1,0
1251,2015,6,18,4,"DL","LAX",0,71,0
855,2015,12,11,5,"DL","SLC",0,48,0
1981,2015,7,23,4,"AA","CLT",47,2,0
1905,2015,5,25,1,"DL","MCO",0,43,0
87,2015,2,18,3,"DL","SAN",2,13,0
188,2015,6,19,5,"DL","BOS",36,3,0
2413,2015,8,23,7,"DL","SEA",44,1,0
1995,2015,5,29,5,"DL","MSP",0,15,0
1704,2015,3,23,1,"DL","FLL",0,155,0
21,2015,12,30,3,"DL","FLL",75,5,0
1495,2015,8,17,1,"DL","BDL",0,95,0
1280,2015,6,13,6,"AA","DFW",0,21,0
1380,2015,6,2,2,"DL","PWM",10,6,0
766,2015,7,9,4,"DL","SAN",0,43,0
2385,2015,6,22,1,"DL","MSY",22,58,0
1635,2015,1,8,4,"DL","SAN",0,26,0
2623,2015,6,3,3,"DL","STL",0,19,0
2486,2015,7,15,3,"DL","PVD",65,1,0
1207,2015,6,20,6,"DL","SLC",0,15,0
2455,2015,7,29,3,"DL","AUS",43,2,0
1706,2015,1,12,1,"DL","LAX",0,13,0
505,2015,6,23,2,"DL","CVG",29,16,0
301,2015,8,22,6,"AA","MIA",0,15,0
1125,2015,3,2,1,"AA","DFW",0,50,0
1850,2015,1,4,7,"DL","PHL",133,9,0
905,2015,3,5,4,"DL","LGA",3,36,0
700,2015,2,4,3,"DL","STL",0,39,0
158,2015,12,5,6,"DL","BOS",0,16,0
1269,2015,2,2,1,"AA","DFW",43,5,0
2021,2015,9,16,3,"DL","PHX",0,15,0
1204,2015,2,5,4,"DL","BDL",0,20,0
1237,2015,8,21,5,"DL","BOS",6,6,0
853,2015,6,27,6,"DL","RSW",0,80,0
1737,2015,5,28,4,"DL","BWI",0,15,0
1870,2015,1,8,4,"DL","IND",0,25,0
1207,2015,4,7,2,"DL","SLC",0,41,0
853,2015,11,17,2,"DL","RSW",62,1,0
1805,2015,2,1,7,"DL","MCO",0,13,22
1248,2015,3,8,7,"DL","LAX",0,33,0
1995,2015,5,26,2,"DL","MSP",0,83,0
1144,2015,4,13,1,"DL","DCA",0,56,0
1650,2015,3,1,7,"DL","MSP",0,23,0
936,2015,11,15,7,"DL","EWR",18,2,0
883,2015,7,6,1,"DL","BNA",0,33,0
2809,2015,7,29,3,"DL","RDU",31,7,0
2067,2015,7,8,3,"AA","PHX",0,24,0
1248,2015,2,21,6,"DL","LAX",0,6,0
1487,2015,6,24,3,"DL","MEM",0,15,0
1754,2015,9,24,4,"AA","CLT",2,4,0
1679,2015,2,1,7,"DL","PIT",7,13,0
1380,2015,5,18,1,"DL","PWM",139,19,9
1848,2015,12,19,6,"DL","LGA",0,175,0
886,2015,2,1,7,"DL","BDL",0,20,26
663,2015,3,4,3,"DL","IND",0,165,0
2484,2015,12,23,3,"DL","PIT",11,8,0
1207,2015,6,11,4,"DL","SLC",0,44,0
1409,2015,1,9,5,"DL","MCI",0,42,0
659,2015,8,2,7,"DL","ATL",0,99,0
1270,2015,8,3,1,"AA","MIA",0,30,0
1536,2015,2,21,6,"DL","BWI",0,6,0
678,2015,8,9,7,"DL","ORD",18,4,0
1645,2015,9,8,2,"DL","DEN",9,10,0
870,2015,8,16,7,"DL","MSN",0,105,0
1619,2015,8,24,1,"DL","SAN",26,3,0
1502,2015,4,24,5,"DL","SEA",0,35,0
1304,2015,5,13,3,"DL","DFW",0,10,0
1715,2015,8,11,2,"DL","ATL",11,60,0
2092,2015,9,2,3,"DL","SFO",9,12,0
1264,2015,1,18,7,"DL","EWR",0,11,30
1217,2015,8,2,7,"DL","LAS",0,64,0
2248,2015,6,16,2,"DL","LGA",0,68,0
338,2015,6,30,2,"DL","AUS",0,57,0
1096,2015,5,17,7,"DL","MSP",0,106,0
895,2015,6,11,4,"DL","BOS",0,15,0
1660,2015,7,29,3,"DL","EWR",73,1,0
